equipment_id,asset_id,asset_type,criticality,install_year,asset_age_years,maintenance_status,inspection_status,home_site_id
0,UNKNOWN,Unknown,Unknown,0,0,Unknown,Unknown,Unknown
1,AST-10-00001,Pressure Vessel,B - Important,1999,27,Monitor,In Date,10
2,AST-01-00002,Diesel Generator,B - Important,2003,23,Good,Due within 30 days,1
3,AST-06-00003,Diesel Generator,C - General,2021,5,Good,In Date,6
4,AST-11-00004,Separator,C - General,2004,22,Monitor,Overdue,11
5,AST-06-00005,Heat Exchanger,B - Important,2026,0,Monitor,In Date,6
6,AST-09-00006,Crane,B - Important,2008,18,Maintenance Due,In Date,9
7,AST-04-00007,Gas Detector,C - General,2000,26,Overdue,Due within 30 days,4
8,AST-04-00008,Pipeline Segment,C - General,2006,20,Overdue,In Date,4
9,AST-02-00009,Heat Exchanger,B - Important,2014,12,Overdue,Overdue,2
10,AST-06-00010,Heat Exchanger,B - Important,2014,12,Good,Due within 30 days,6
11,AST-03-00011,Heat Exchanger,C - General,2012,14,Good,In Date,3
12,AST-10-00012,Separator,B - Important,1998,28,Monitor,In Date,10
13,AST-11-00013,Forklift,A - Critical,2002,24,Good,In Date,11
14,AST-06-00014,Pipeline Segment,C - General,2003,23,Good,In Date,6
15,AST-07-00015,Pressure Vessel,C - General,2000,26,Overdue,In Date,7
16,AST-10-00016,Pipeline Segment,A - Critical,2009,17,Good,In Date,10
17,AST-10-00017,Heat Exchanger,B - Important,2019,7,Maintenance Due,Overdue,10
18,AST-05-00018,Crane,B - Important,2012,14,Good,In Date,5
19,AST-07-00019,Forklift,C - General,2016,10,Monitor,In Date,7
20,AST-02-00020,Heat Exchanger,C - General,2007,19,good,In Date,2
21,AST-11-00021,Centrifugal Pump,B - Important,2009,17,Good, Due within 30 days ,11
22,AST-02-00022,Gas Detector,B - Important,2011,15,Maintenance Due,In Date,2
23,AST-10-00023,Diesel Generator,C - General,2022,4,Good,In Date,10
24,AST-01-00024,Gas Detector,B - Important,2018,8,Good,In Date,1
25,AST-05-00025,Firewater Pump,B - Important,2014,12,Good,In Date,5
26,AST-05-00026,Truck,A - Critical,1999,27,Good,In Date,5
27,AST-07-00027,Control Valve,B - Important,2007,19,Overdue,Not Applicable,7
28,AST-06-00028,Centrifugal Pump,B - Important,2009,17,Good,In Date,6
29,AST-01-00029,Pipeline Segment,B - Important,2009,17,Overdue,Overdue,1
30,AST-02-00030,Gas Detector,B - Important,2013,13,Good,In Date,2
31,AST-01-00031,Forklift,B - Important,2009,17,Good,Due within 30 days,1
32,AST-04-00032,Crane,A - Critical,2015,11,Good,Overdue,4
33,AST-03-00033,Separator,A - Critical,2013,13,Good,Not Applicable,3
34,AST-06-00034,Diesel Generator,A - Critical,2024,2,Monitor,In Date,6
35,AST-03-00035,Control Valve,B - Important,2009,17,Monitor,Due within 30 days,3
36,AST-02-00036,Forklift,C - General,2022,4,Overdue,In Date,2
37,AST-11-00037,Centrifugal Pump,B - Important,2014,12,Good,In Date,11
38,AST-08-00038,Control Valve,B - Important,2024,2,Good,In Date,8
39,AST-03-00039,Forklift,B - Important,2026,0,Good,In Date,3
40,AST-11-00040,Separator,C - General,2013,13,Overdue,Overdue,11
41,AST-07-00041,Forklift,B - Important,2018,8,Good,In Date,7
42,AST-11-00042,Storage Tank,B - Important,2013,13,Good,Overdue,11
43,AST-01-00043,Separator,C - General,1999,27,Monitor,In Date,1
44,AST-10-00044,Compressor,B - Important,2012,14,Good,In Date,10
45,AST-04-00045,Crane,C - General,2019,7,Monitor,In Date,4
46,AST-08-00046,Storage Tank,A - Critical,1998,28,Maintenance Due,In Date,8
47,AST-09-00047,Forklift,C - General,2011,15,Good,In Date,9
48,AST-03-00048,Centrifugal Pump,C - General,2008,18,Overdue,Overdue,3
49,AST-07-00049,Diesel Generator,A - Critical,2024,2,Good,Overdue,7
50,AST-05-00050,Centrifugal Pump,C - General,2012,14,Overdue,In Date,5
51,AST-08-00051,Heat Exchanger,B - Important,2013,13,Good,Due within 30 days,8
52,AST-04-00052,Control Valve,B - Important,1998,28,Maintenance Due,In Date,4
53,AST-08-00053,Heat Exchanger,C - General,2022,4,Good,In Date,8
54,AST-01-00054,Crane,A - Critical,2002,24,Overdue,Overdue,1
55,AST-05-00055,Diesel Generator,C - General,2007,19,Good,In Date,5
56,AST-04-00056,Compressor,C - General,2023,3,Good,Not Applicable,4
57,AST-09-00057,Crane,A - Critical,2005,21,Good,Due within 30 days,9
58,AST-02-00058,Firewater Pump,B - Important,1999,27,Monitor,In Date,2
59,AST-09-00059,Compressor,A - Critical,2019,7,Monitor,Overdue,9
60,AST-08-00060,Pipeline Segment,B - Important,2022,4,Good,In Date,8
61,AST-01-00061,Pipeline Segment,A - Critical,2008,18,Overdue,Not Applicable,1
62,AST-09-00062,Pipeline Segment,B - Important,2013,13,Good,Overdue,9
63,AST-01-00063,Centrifugal Pump,A - Critical,2005,21,Overdue,In Date,1
64,AST-02-00064,Electrical Switchgear,A - Critical,1999,27,Good,In Date,2
65,AST-05-00065,Pressure Vessel,B - Important,2014,12,Good,In Date,5
66,AST-10-00066,Control Valve,B - Important,2018,8,Good,Not Applicable,10
67,AST-01-00067,Heat Exchanger,B - Important,2021,5,Good,Due within 30 days,1
68,AST-11-00068,Truck,C - General,2012,14,good,In Date,11
69,AST-05-00069,Pipeline Segment,C - General,2026,0,Good,In Date,5
70,AST-06-00070,Electrical Switchgear,B - Important,2025,1,Good,Not Applicable,6
71,AST-03-00071,Forklift,B - Important,2019,7,Good,Due within 30 days,3
72,AST-05-00072,Crane,C - General,2023,3,Monitor,In Date,5
73,AST-01-00073,Crane,A - Critical,2004,22,Overdue,Overdue,1
74,AST-11-00074,Pressure Vessel,A - Critical,2002,24,Good,In Date,11
75,AST-07-00075,Heat Exchanger,B - Important,2021,5,Good,In Date,7
76,AST-07-00076,Gas Detector,A - Critical,2009,17,Monitor,Overdue,7
77,AST-06-00077,Forklift,B - Important,2020,6,Good,In Date,6
78,AST-03-00078,Crane,B - Important,2014,12,Overdue,Overdue,3
79,AST-01-00079,Pipeline Segment,A - Critical,2004,22,good,In Date,1
80,AST-01-00080,Separator,C - General,2021,5,Maintenance Due,In Date,1
