person_id,employee_id,employment_type,contractor_company,department,job_title,age_band_code,years_experience,training_status
0,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown
1,EMP-00001,Employee,None,Laboratory,Chemist,3,2.6,Current
2,EMP-00002,Employee,None,Maintenance,Electrical Technician,3,7.6,Current
3,CTR-00003,Contractor,Prime Offshore Contractors,Security,Security Supervisor,1,5.7,Due within 30 days
4,EMP-00004,Employee,None,Laboratory,Chemist,4,4.3,Current
5,EMP-00005,Employee,None,Security,Security Officer,3,6.3,Current
6,CTR-00006,Contractor,Prime Offshore Contractors,Security,Security Officer,3,5.0,Expired
7,EMP-00007,Employee,None,Engineering,Reliability Engineer,3,10.4,Expired
8,EMP-00008,Employee,None,Projects,QA/QC Inspector,2,4.5,Expired
9,EMP-00009,Employee,None,Laboratory,Chemist,4,14.3,Current
10,EMP-00010,Employee,None,Maintenance,Maintenance Supervisor,1,0.6,Current
11,EMP-00011,Employee,None,Maintenance,Instrument Technician,1,1.9,Current
12,CTR-00012,Contractor,Prime Offshore Contractors,Logistics,Driver,4,10.3,Due within 30 days
13,CTR-00013,Contractor,Coastal Logistics Ltd,Laboratory,Sampling Technician,3,6.0,Current
14,CTR-00014,Contractor,Integrated Drilling Services,Laboratory,Chemist,3,14.9,Current
15,CTR-00015,Contractor,SafeBuild Engineering,Marine,Marine Supervisor,4,1.7,Expired
16,CTR-00016,Contractor,Atlantic Marine Support,Engineering,Process Engineer,2,5.7,Current
17,EMP-00017,Employee,None,Marine,Crane Operator,2,3.9,Current
18,EMP-00018,Employee,None,Maintenance,Electrical Technician,2,4.6,Expired
19,CTR-00019,Contractor,WestCo Services Ltd,Maintenance,Mechanical Technician,3,17.3,Current
20,EMP-00020,Employee,None,HSE,HSE Advisor,2,3.3,Current
21,EMP-00021,Employee,None,Projects,Construction Supervisor,3,10.1,Current
22,EMP-00022,Employee,None,Laboratory,Chemist,2,11.8,Current
23,CTR-00023,Contractor,Delta Industrial Services,Projects,QA/QC Inspector,3,3.2,Due within 30 days
24,EMP-00024,Employee,None,Operations,Process Operator,2,2.6,Current
25,CTR-00025,Contractor,Coastal Logistics Ltd,Security,Security Officer,2,2.2,Incomplete
26,CTR-00026,Contractor,Atlantic Marine Support,Operations,Control Room Operator,3,7.7,Current
27,EMP-00027,Employee,None,HSE,HSE Officer,1,1.2,Current
28,CTR-00028,Contractor,Delta Industrial Services,Laboratory,Laboratory Technician,2,6.3,Current
29,CTR-00029,Contractor,Prime Offshore Contractors,Logistics,Warehouse Technician,3,6.1,Current
30,CTR-00030,Contractor,Integrated Drilling Services,HSE,Environmental Officer,2,4.3,Current
31,EMP-00031,Employee,None,HSE,Environmental Officer,4,17.3,Incomplete
32,EMP-00032,Employee,None,Projects,QA/QC Inspector,2,6.1,Current
33,EMP-00033,Employee,None,Marine,Deck Crew,4,8.9,Expired
34,CTR-00034,Contractor,Coastal Logistics Ltd,HSE,HSE Officer,2,5.4,Current
35,CTR-00035,Contractor,Coastal Logistics Ltd,Projects,QA/QC Inspector,3,10.4,Current
36,EMP-00036,Employee,None,Operations,Process Operator,2,10.4,Current
37,CTR-00037,Contractor,Atlantic Marine Support,Maintenance,Instrument Technician,2,6.7,Current
38,CTR-00038,Contractor,PetroMaint Solutions,Operations,Production Technician,5,15.8,Current
39,CTR-00039,Contractor,WestCo Services Ltd,Laboratory,Laboratory Technician,2,3.9,Current
40,EMP-00040,Employee,None,Logistics,Driver,4,21.5,Current
41,EMP-00041,Employee,None,Projects,Project Engineer,3,10.9,Expired
42,EMP-00042,Employee,None,Logistics,Warehouse Technician,3,10.4,Current
43,CTR-00043,Contractor,Prime Offshore Contractors,Projects,Project Engineer,1,6.9,Due within 30 days
44,CTR-00044,Contractor,PetroMaint Solutions,Security,Security Officer,2,1.9,Current
45,CTR-00045,Contractor,Coastal Logistics Ltd,Marine,Marine Technician,4,15.1,Current
46,CTR-00046,Contractor,Coastal Logistics Ltd,Laboratory,Chemist,3,4.3,Current
47,EMP-00047,Employee,None,Logistics,Logistics Coordinator,4,14.8,Current
48,EMP-00048,Employee,None,Projects,Field Engineer,2,5.7,Current
49,CTR-00049,Contractor,Integrated Drilling Services,Logistics,Forklift Operator,2,4.9,Current
50,EMP-00050,Employee,None,Marine,Marine Supervisor,3,16.8,Current
51,CTR-00051,Contractor,Prime Offshore Contractors,Maintenance,Instrument Technician,1,5.8,Due within 30 days
52,CTR-00052,Contractor,Prime Offshore Contractors,Drilling,Drilling Supervisor,2,4.8,Current
53,CTR-00053,Contractor,Atlantic Marine Support,Operations,Process Operator,3,6.6,Due within 30 days
54,EMP-00054,Employee,None,Engineering,Reliability Engineer,2,6.4,Incomplete
55,EMP-00055,Employee,None,Logistics,Logistics Coordinator,2,4.0,Expired
56,EMP-00056,Employee,None,Security,Security Supervisor,2,10.8,Current
57,CTR-00057,Contractor,WestCo Services Ltd,Logistics,Warehouse Technician,1,1.5,Current
58,EMP-00058,Employee,None,Logistics,Driver,1,6.4,Incomplete
59,CTR-00059,Contractor,Prime Offshore Contractors,Drilling,Assistant Driller,4,16.9,Current
60,EMP-00060,Employee,None,Logistics,Logistics Coordinator,3,8.2,Current
61,EMP-00061,Employee,None,Security,Security Officer,4,6.1,Due within 30 days
62,EMP-00062,Employee,None,Projects,Construction Supervisor,3,8.7,Incomplete
63,EMP-00063,Employee,None,Marine,Deck Officer,3,6.2,Current
64,EMP-00064,Employee,None,Engineering,Electrical Engineer,2,4.3,Expired
65,EMP-00065,Employee,None,Maintenance,Electrical Technician,5,16.8,Current
66,EMP-00066,Employee,None,HSE,Occupational Health Officer,3,16.5,Current
67,EMP-00067,Employee,None,Projects,Field Engineer,1,7.6,Current
68,CTR-00068,Contractor,Prime Offshore Contractors,Marine,Marine Supervisor,1,5.6,Current
69,CTR-00069,Contractor,PetroMaint Solutions,Laboratory,Laboratory Technician,4,10.2,Current
70,EMP-00070,Employee,None,Engineering,Process Engineer,3,2.1,Current
71,EMP-00071,Employee,None,Marine,Marine Supervisor,2,13.9,Current
72,EMP-00072,Employee,None,Drilling,Derrickhand,2,2.4,Expired
73,CTR-00073,Contractor,Atlantic Marine Support,Logistics,Warehouse Technician,1,6.6,Expired
74,CTR-00074,Contractor,Atlantic Marine Support,Projects,QA/QC Inspector,4,7.3,Due within 30 days
75,CTR-00075,Contractor,SafeBuild Engineering,Projects,Field Engineer,3,17.2,Current
76,EMP-00076,Employee,None,Drilling,Assistant Driller,1,4.1,Current
77,EMP-00077,Employee,None,Maintenance,Maintenance Supervisor,2,4.4,Current
78,CTR-00078,Contractor,Coastal Logistics Ltd,Security,Security Officer,5,19.2,Current
79,EMP-00079,Employee,None,Engineering,Process Engineer,4,2.6,Current
80,EMP-00080,Employee,None,Operations,Process Operator,2,9.3,Current
81,EMP-00081,Employee,None,Maintenance,Maintenance Supervisor,3,9.3,Due within 30 days
82,CTR-00082,Contractor,Atlantic Marine Support,Logistics,Warehouse Technician,2,6.0,Current
83,CTR-00083,Contractor,SafeBuild Engineering,Drilling,Driller,4,5.1,Current
84,CTR-00084,Contractor,PetroMaint Solutions,Marine,Marine Supervisor,4,8.0,Incomplete
85,EMP-00085,Employee,None,Drilling,Driller,2,4.8,Current
86,EMP-00086,Employee,None,Drilling,Assistant Driller,2,3.7,Current
87,CTR-00087,Contractor,SafeBuild Engineering,Security,Security Supervisor,2,4.0,Current
88,CTR-00088,Contractor,WestCo Services Ltd,Marine,Marine Technician,2,5.4,Current
89,EMP-00089,Employee,None,Projects,Project Engineer,3,2.9,Current
90,EMP-00090,Employee,None,Engineering,Electrical Engineer,2,6.8,Current
91,CTR-00091,Contractor,Delta Industrial Services,HSE,HSE Officer,4,4.4,Current
92,CTR-00092,Contractor,Coastal Logistics Ltd,Drilling,Driller,2,4.3,Incomplete
93,EMP-00093,Employee,None,Security,Security Supervisor,3,10.9,Expired
94,EMP-00094,Employee,None,Engineering,Process Engineer,2,3.6,Current
95,CTR-00095,Contractor,WestCo Services Ltd,Marine,Deck Crew,2,7.4,Current
96,EMP-00096,Employee,None,Security,Security Officer,2,1.3,Expired
97,EMP-00097,Employee,None,Security,Security Officer,3,10.8,Current
98,EMP-00098,Employee,None,HSE,HSE Officer,2,12.7,Due within 30 days
99,EMP-00099,Employee,None,Logistics,Warehouse Technician,3,8.7,Due within 30 days
100,CTR-00100,Contractor,Integrated Drilling Services,Logistics,Warehouse Technician,1,2.7,Current
101,EMP-00101,Employee,None,Drilling,Drilling Supervisor,2,3.0,Current
102,CTR-00102,Contractor,Delta Industrial Services,Logistics,Warehouse Technician,2,2.4,Due within 30 days
103,CTR-00103,Contractor,Atlantic Marine Support,Drilling,Drilling Supervisor,2,7.5,Expired
104,EMP-00104,Employee,None,Laboratory,Sampling Technician,2,1.8,Current
105,EMP-00105,Employee,None,Logistics,Logistics Coordinator,3,9.8,Incomplete
106,CTR-00106,Contractor,Integrated Drilling Services,Drilling,Assistant Driller,1,1.7,Due within 30 days
107,EMP-00107,Employee,None,Projects,Project Engineer,2,5.6,Current
108,EMP-00108,Employee,None,Operations,Process Operator,2,3.3,Current
109,CTR-00109,Contractor,PetroMaint Solutions,Engineering,Electrical Engineer,4,8.8,Current
110,EMP-00110,Employee,None,Drilling,Derrickhand,3,16.6,Expired
111,EMP-00111,Employee,None,Security,Security Supervisor,2,5.0,Current
112,EMP-00112,Employee,None,Engineering,Electrical Engineer,3,19.8,Current
113,EMP-00113,Employee,None,Projects,Project Engineer,3,7.8,Incomplete
114,CTR-00114,Contractor,SafeBuild Engineering,Marine,Marine Technician,2,6.4,Current
115,EMP-00115,Employee,None,Security,Security Officer,3,7.2,Expired
116,EMP-00116,Employee,None,Maintenance,Maintenance Supervisor,4,10.5,Current
117,CTR-00117,Contractor,Prime Offshore Contractors,Logistics,Driver,3,12.5,Current
118,CTR-00118,Contractor,Coastal Logistics Ltd,Engineering,Process Engineer,1,4.3,Current
119,CTR-00119,Contractor,WestCo Services Ltd,Marine,Marine Supervisor,4,9.8,Current
120,CTR-00120,Contractor,SafeBuild Engineering,HSE,HSE Advisor,2,0.7,Due within 30 days
121,CTR-00121,Contractor,Integrated Drilling Services,Laboratory,Laboratory Technician,2,5.5,Current
122,EMP-00122,Employee,None,Security,Security Supervisor,4,5.1,Due within 30 days
123,CTR-00123,Contractor,Delta Industrial Services,Logistics,Logistics Coordinator,4,8.7,Current
124,EMP-00124,Employee,None,Security,Security Supervisor,2,3.6,Current
125,EMP-00125,Employee,None,Marine,Marine Supervisor,2,1.9,Current
126,CTR-00126,Contractor,Atlantic Marine Support,Projects,Construction Supervisor,3,2.5,Current
127,CTR-00127,Contractor,Prime Offshore Contractors,Marine,Deck Officer,3,9.4,Current
128,CTR-00128,Contractor,Integrated Drilling Services,Marine,Marine Technician,4,11.6,Current
129,CTR-00129,Contractor,Integrated Drilling Services,HSE,HSE Officer,1,0.8,Current
130,CTR-00130,Contractor,Integrated Drilling Services,HSE,Environmental Officer,3,13.7,Due within 30 days
131,EMP-00131,Employee,None,Projects,Field Engineer,2,5.6,Incomplete
132,EMP-00132,Employee,None,Engineering,Process Engineer,3,2.5,Current
133,CTR-00133,Contractor,Delta Industrial Services,Engineering,Process Engineer,1,7.8,Current
134,CTR-00134,Contractor,Coastal Logistics Ltd,Maintenance,Maintenance Supervisor,3,13.0,Expired
135,EMP-00135,Employee,None,Operations,Control Room Operator,3,4.5,Due within 30 days
136,EMP-00136,Employee,None,Security,Security Supervisor,3,3.9,Current
137,EMP-00137,Employee,None,Engineering,Mechanical Engineer,4,2.1,Current
138,EMP-00138,Employee,None,Security,Security Supervisor,4,4.7,Current
139,EMP-00139,Employee,None,Marine,Marine Supervisor,3,14.0,Current
140,CTR-00140,Contractor,Prime Offshore Contractors,Security,Security Supervisor,2,5.5,Due within 30 days
141,EMP-00141,Employee,None,Projects,Construction Supervisor,2,9.7,Current
142,EMP-00142,Employee,None,Marine,Deck Officer,3,8.3,Current
143,CTR-00143,Contractor,SafeBuild Engineering,Laboratory,Laboratory Technician,2,5.0,Current
144,CTR-00144,Contractor,PetroMaint Solutions,Drilling,Roustabout,4,10.7,Current
145,EMP-00145,Employee,None,Engineering,Electrical Engineer,2,5.0,Current
146,CTR-00146,Contractor,Integrated Drilling Services,Security,Security Supervisor,3,1.0,Current
147,CTR-00147,Contractor,SafeBuild Engineering,Laboratory,Chemist,3,8.9,Incomplete
148,EMP-00148,Employee,None,Security,Security Officer,4,8.1,Current
149,EMP-00149,Employee,None,Security,Security Supervisor,4,15.6,Current
150,CTR-00150,Contractor,SafeBuild Engineering,Drilling,Derrickhand,2,2.3,Current
151,CTR-00151,Contractor,Atlantic Marine Support,Operations,Control Room Operator,2,4.7,Current
152,EMP-00152,Employee,None,Projects,QA/QC Inspector,4,16.6,Current
153,CTR-00153,Contractor,WestCo Services Ltd,Maintenance,Electrical Technician,2,6.2,Current
154,CTR-00154,Contractor,PetroMaint Solutions,HSE,HSE Advisor,4,10.8,Current
155,CTR-00155,Contractor,WestCo Services Ltd,Logistics,Warehouse Technician,3,10.1,Current
156,EMP-00156,Employee,None,Projects,Project Engineer,2,4.9,Current
157,EMP-00157,Employee,None,HSE,HSE Advisor,2,3.4,Expired
158,CTR-00158,Contractor,Delta Industrial Services,Logistics,Logistics Coordinator,2,3.5,Current
159,EMP-00159,Employee,None,Engineering,Process Engineer,2,3.2,Current
160,CTR-00160,Contractor,Integrated Drilling Services,Laboratory,Chemist,3,2.0,Current
161,CTR-00161,Contractor,SafeBuild Engineering,Maintenance,Maintenance Supervisor,2,1.9,Current
162,CTR-00162,Contractor,WestCo Services Ltd,HSE,HSE Officer,5,20.2,Current
163,EMP-00163,Employee,None,Projects,QA/QC Inspector,3,2.4,Due within 30 days
164,EMP-00164,Employee,None,Operations,Process Operator,2,7.7,Due within 30 days
165,EMP-00165,Employee,None,Maintenance,Maintenance Supervisor,2,9.0,Current
166,CTR-00166,Contractor,Atlantic Marine Support,Laboratory,Sampling Technician,2,11.6,Current
167,CTR-00167,Contractor,SafeBuild Engineering,Marine,Marine Technician,2,12.0,Current
168,EMP-00168,Employee,None,Projects,QA/QC Inspector,2,6.5,Current
169,CTR-00169,Contractor,Delta Industrial Services,Security,Security Supervisor,3,2.0,Current
170,EMP-00170,Employee,None,Laboratory,Laboratory Technician,3,3.7,Current
171,EMP-00171,Employee,None,HSE,HSE Advisor,1,3.3,Incomplete
