event_record_id,event_id,event_date_id,site_id,person_id,equipment_id,activity_id,cause_id,event_type,severity_class,process_safety_tier,recordable_flag,lost_time_flag,fatality_count,days_lost,restricted_days,spill_volume_l,incident_cost_usd,downtime_hours,regulator_reportable_flag
1,HSE-2021-000001,20211027,1,142,276,25,12,Medical Treatment Case,Moderate,N/A,1,N,0,0,0,0.0,3128.48,6.74,0
2,HSE-2022-000002,20220207,4,1309,32,20,22,First Aid Case,Low,N/A,N,No,0,0,0,0.0,149.64,0.29,0
3,HSE-2026-000003,20260805,8,2408,514,51,10,Medical Treatment Case,Moderate,N/A,Y,0,0,0,0,0.0,5751.29,11.22,0
4,HSE-2025-000004,20250924,7,1706,493,17,12,Fire / Explosion,Major,Tier 1,No,No,0,0,0,0.0,372174.09,163.9,1
5,HSE-2023-000005,20231111,3,2106,0,17,30,Lost Time Injury,Major,N/A,TRUE,TRUE,0,26,0,0.0,85997.22,4.84,1
6,HSE-2024-000006,20240908,9,217,0,24,22,Near Miss,High Potential,N/A,N,No,0,0,0,0.0,55.21,0.04,0
7,HSE-2025-000007,20250426,5,496,72,25,20,First Aid Case,Low,N/A,N,N,0,0,0,0.0,1241.27,2.06,0
8,HSE-2025-000008,20250511,11,0,0,52,25,Near Miss,High Potential,N/A,N,0,0,0,0,0.0,77.8,0.07,0
9,HSE-2026-000009,20260323,8,556,60,36,18,Near Miss,High Potential,N/A,No,No,0,0,0,0.0,94.02,0.31,0
10,HSE-2021-000010,20210714,12,500,0,10,25,First Aid Case,Low,N/A,No,0,0,0,0,0.0,147.73,0.11,0
11,HSE-2022-000011,20221130,5,1159,0,28,14,Near Miss,High Potential,N/A,N,N,0,0,0,0.0,141.09,0.74,0
12,HSE-2021-000012,20210124,6,0,0,7,3,Unsafe Condition,Low,N/A,No,0,0,0,0,0.0,54.1,0.3,0
13,HSE-2024-000013,20240816,3,1571,0,54,16,Restricted Work Case,Moderate,N/A,Y,0,0,0,18,0.0,23684.1,13.17,0
14,HSE-2026-000014,20260709,1,1941,168,27,8,Process Safety Event,High,Tier 1,FALSE,No,0,0,0,12641.24,223525.45,131.58,1
15,HSE-2024-000015,20240723,9,1232,92,52,8,Near Miss,High Potential,N/A,0,FALSE,0,0,0,0.0,47.64,0.03,0
16,HSE-2025-000016,20251213,8,991,413,10,15,Property Damage,Moderate,N/A,N,0,0,0,0,0.0,16388.11,8.53,0
17,HSE-2022-000017,20220206,7,60,0,32,22,Unsafe Condition,Low,N/A,0,FALSE,0,0,0,0.0,25.1,0.06,0
18,HSE-2026-000018,20260328,5,1307,50,25,7,MTC,Moderate,N/A,TRUE,0,0,0,0,0.0,1221.56,2.54,0
19,HSE-2021-000019,20210218,9,808,0,8,18,First Aid Case,Low,N/A,0,0,0,0,0,0.0,152.75,0.26,0
20,HSE-2021-000020,20210412,3,1020,296,52,7,Medical Treatment Case,Moderate,N/A,Y,N,0,0,0,0.0,25407.82,16.9,0
21,HSE-2023-000021,20230823,10,0,462,52,3,Property Damage,Moderate,N/A,No,No,0,0,0,0.0,15211.67,5.04,0
22,HSE-2021-000022,20210901,3,1916,433,51,9,Process Safety Event,High,Tier 3,FALSE,N,0,0,0,433.75,29763.13,39.78,0
23,HSE-2025-000023,20251123,3,1062,436,2,10,Restricted Work Case,Moderate,N/A,1,0,0,0,10,0.0,67956.22,25.01,0
24,HSE-2023-000024,20231012,6,1609,321,19,5,Spill / Release,High,Tier 3,0,FALSE,0,0,0,13.45,8626.51,13.52,1
25,HSE-2023-000025,20230720,12,682,0,6,6,Near Miss,High Potential,N/A,No,No,0,0,0,0.0,72.59,0.07,0
26,HSE-2026-000026,20260429,1,1613,409,45,21,Restricted Work Case,Moderate,N/A,1,N,0,0,10,0.0,9658.22,12.08,0
27,HSE-2022-000027,20220210,12,594,0,52,17,Unsafe Condition,Low,N/A,No,N,0,0,0,0.0,96.09,0.22,0
28,HSE-2022-000028,20220313,5,0,386,30,11,Unsafe Condition,Low,N/A,N,No,0,0,0,0.0,25.69,0.47,0
29,HSE-2023-000029,20231012,7,562,280,54,1,Unsafe Condition,Low,N/A,FALSE,FALSE,0,0,0,0.0,50.24,0.42,0
30,HSE-2021-000030,20211002,7,2138,593,51,26,Unsafe Condition,Low,N/A,FALSE,0,0,0,0,0.0,28.07,0.57,0
31,HSE-2022-000031,20221213,5,1969,566,18,12,Process Safety Event,High,Tier 3,FALSE,0,0,0,0,52.47,20571.7,7.29,0
32,HSE-2023-000032,20231113,9,1605,235,5,4,Spill / Release,High,N/A,N,0,0,0,0,1347.24,25153.17,5.38,1
33,HSE-2022-000033,20220910,5,434,0,9,26,Unsafe Condition,Low,N/A,0,FALSE,0,0,0,0.0,44.93,0.32,0
34,HSE-2025-000034,20250119,9,2148,0,44,22,Unsafe Condition,Low,N/A,FALSE,FALSE,0,0,0,0.0,42.54,0.53,0
35,HSE-2024-000035,20241120,1,532,166,11,23,Medical Treatment Case,Moderate,N/A,TRUE,No,0,0,0,0.0,3552.89,0.14,0
36,HSE-2025-000036,20251027,3,960,0,32,14,First Aid Case,Low,N/A,0,N,0,0,0,0.0,49.15,0.44,0
37,HSE-2024-000037,20240303,8,2064,0,43,16,Unsafe Condition,Low,N/A,No,N,0,0,0,0.0,59.04,0.06,0
38,HSE-2023-000038,20230704,3,2235,0,43,3,Near Miss,High Potential,N/A,N,0,0,0,0,0.0,170.83,0.23,0
39,HSE-2022-000039,20220627,7,319,312,34,25,Unsafe Condition,Low,N/A,0,No,0,0,0,0.0,31.58,0.19,0
40,HSE-2022-000040,20220916,2,1802,585,27,8,First Aid Case,Low,N/A,No,N,0,0,0,0.0,70.71,0.47,0
41,HSE-2026-000041,20260607,10,561,0,12,12,Near Miss,High Potential,N/A,FALSE,N,0,0,0,0.0,85.63,0.04,0
42,HSE-2026-000042,20260510,1,0,339,34,9,Property Damage,Moderate,N/A,FALSE,N,0,0,0,0.0,11324.85,4.49,0
43,HSE-2026-000043,20260408,8,1311,324,17,13,Process Safety Event,High,Tier 2,FALSE,N,0,0,0,2064.92,69210.72,39.01,0
44,HSE-2025-000044,20250329,9,0,375,22,20,Process Safety Event,High,Tier 3,FALSE,N,0,0,0,65.11,18250.74,5.35,0
45,HSE-2024-000045,20240627,3,0,0,47,22,Spill / Release,High,N/A,N,0,0,0,0,158.81,5493.83,2.36,1
46,HSE-2022-000046,20220521,11,1714,251,16,25,Spill / Release,High,Tier 1,No,N,0,0,0,2267.36,30490.21,21.35,1
47,HSE-2021-000047,20211010,2,1892,0,17,12,Environmental Non-Conformance,Moderate,N/A,FALSE,No,0,0,0,1272.06,33647.04,12.69,1
48,HSE-2025-000048,20251205,9,853,568,32,13,Near Miss,High Potential,N/A,N,No,0,0,0,0.0,89.1,0.02,0
49,HSE-2024-000049,20241014,12,202,0,52,21,Unsafe Condition,Low,N/A,N,N,0,0,0,0.0,65.81,0.08,0
50,HSE-2025-000050,20250215,8,0,346,13,7,Near Miss,High Potential,N/A,FALSE,N,0,0,0,0.0,49.29,0.01,0
51,HSE-2026-000051,20260421,1,2406,283,29,23,Near Miss,High Potential,N/A,No,No,0,0,0,0.0,54.86,0.04,0
52,HSE-2023-000052,20230331,1,1075,187,27,11,Unsafe Condition,Low,N/A,0,0,0,0,0,0.0,30.37,0.25,0
53,HSE-2022-000053,20220311,9,421,57,51,18,Near Miss,High Potential,N/A,N,N,0,0,0,0.0,93.28,0.27,0
54,HSE-2022-000054,20221226,7,1631,0,54,22,Near Miss,High Potential,N/A,0,No,0,0,0,0.0,221.43,0.27,0
55,HSE-2025-000055,20251124,7,766,0,33,24,Unsafe Condition,Low,N/A,FALSE,No,0,0,0,0.0,29.24,0.3,0
56,HSE-2024-000056,20240301,9,17,235,17,7,Process Safety Event,High,Tier 2,N,N,0,0,0,940.56,45366.03,2.58,0
57,HSE-2022-000057,20220519,5,0,248,3,24,Unsafe Condition,Low,N/A,N,No,0,0,0,0.0,35.51,0.32,0
58,HSE-2022-000058,20220410,9,716,455,18,12,First Aid Case,Low,N/A,0,No,0,0,0,0.0,464.69,0.64,0
59,HSE-2021-000059,20211129,8,0,0,54,19,First Aid Case,Low,N/A,FALSE,No,0,0,0,0.0,86.78,0.71,0
60,HSE-2025-000060,20251029,2,522,0,33,2,Unsafe Condition,Low,N/A,No,N,0,0,0,0.0,32.49,0.4,0
61,HSE-2024-000061,20240304,6,1039,419,19,24,Unsafe Condition,Low,N/A,0,N,0,0,0,0.0,36.67,0.17,0
62,HSE-2026-000062,20260330,5,941,330,39,8,Near Miss,High Potential,N/A,FALSE,N,0,0,0,0.0,65.34,0.03,0
63,HSE-2022-000063,20220315,2,121,0,37,11,Near Miss,High Potential,N/A,0,FALSE,0,0,0,0.0,90.07,0.09,0
64,HSE-2025-000064,20250720,8,1780,0,41,22,First Aid Case,Low,N/A,FALSE,N,0,0,0,0.0,132.82,0.13,0
65,HSE-2022-000065,20220417,4,1315,550,8,24,Near Miss,High Potential,N/A,No,FALSE,0,0,0,0.0,71.4,0.01,0
66,HSE-2021-000066,20210806,7,2054,89,51,14,Unsafe Condition,Low,N/A,0,N,0,0,0,0.0,31.27,0.15,0
67,HSE-2026-000067,20260518,7,2465,285,29,22,Medical Treatment Case,Moderate,N/A,Yes,0,0,0,0,0.0,6820.42,4.78,0
68,HSE-2025-000068,20250412,11,966,0,1,23,First Aid Case,Low,N/A,N,No,0,0,0,0.0,450.43,0.53,0
69,HSE-2022-000069,20221006,1,2479,0,30,20,Near Miss,High Potential,N/A,No,N,0,0,0,0.0,105.35,0.31,0
70,HSE-2023-000070,20231009,9,0,0,13,13,Unsafe Condition,Low,N/A,FALSE,FALSE,0,0,0,0.0,58.75,0.35,0
71,HSE-2022-000071,20220312,5,1073,488,52,26,Spill / Release,High,Tier 2,0,0,0,0,0,74.29,9631.32,5.7,1
72,HSE-2026-000072,20260319,9,1753,392,5,17,Property Damage,Moderate,N/A,0,0,0,0,0,0.0,11142.32,14.27,0
73,HSE-2022-000073,20220908,8,408,0,9,14,Near Miss,High Potential,N/A,FALSE,FALSE,0,0,0,0.0,34.9,0.16,0
74,HSE-2021-000074,20210417,4,1148,0,38,9,Restricted Work Case,Moderate,N/A,1,0,0,0,6,0.0,4070.64,1.84,0
75,HSE-2023-000075,20230731,7,0,105,43,21,Near Miss,High Potential,N/A,FALSE,N,0,0,0,0.0,258.66,0.13,0
76,HSE-2021-000076,20210707,4,173,0,13,15,Unsafe Condition,Low,N/A,No,No,0,0,0,0.0,38.01,0.33,0
77,HSE-2023-000077,20230304,2,0,36,36,26,Near Miss,High Potential,N/A,No,No,0,0,0,0.0,86.79,0.27,0
78,HSE-2025-000078,20250510,5,1482,298,18,14,First Aid Case,Low,N/A,N,FALSE,0,0,0,0.0,95.75,0.27,0
79,HSE-2021-000079,20210414,4,0,0,45,29,First Aid Case,Low,N/A,No,No,0,0,0,0.0,294.39,0.16,0
80,HSE-2025-000080,20250401,4,2138,355,49,5,First Aid Case,Low,N/A,N,0,0,0,0,0.0,196.3,0.07,0
81,HSE-2024-000081,20241115,4,1910,428,33,27,First Aid Case,Low,N/A,No,FALSE,0,0,0,0.0,159.12,0.1,0
82,HSE-2024-000082,20240101,11,1735,195,24,10,Unsafe Condition,Low,N/A,FALSE,FALSE,0,0,0,0.0,42.6,0.32,0
83,HSE-2025-000083,20250125,9,2383,92,34,28,Fire / Explosion,Major,Tier 2,No,FALSE,0,0,0,0.0,573508.59,240.0,1
84,HSE-2026-000084,20260814,12,1601,0,4,3,Near Miss,High Potential,N/A,FALSE,N,0,0,0,0.0,45.9,0.27,0
85,HSE-2022-000085,20221125,10,1751,0,29,13,Unsafe Condition,Low,N/A,N,FALSE,0,0,0,0.0,136.59,0.64,0
86,HSE-2023-000086,20230505,1,2470,0,15,28,Restricted Work Case,Moderate,N/A,1,N,0,0,10,0.0,14939.2,17.01,0
87,HSE-2026-000087,20260331,8,801,0,59,22,Spill / Release,High,Tier 3,No,0,0,0,0,11787.26,114742.92,3.14,1
88,HSE-2021-000088,20210106,2,693,0,8,24,First Aid Case,Low,N/A,No,N,0,0,0,0.0,80.54,0.07,0
89,HSE-2025-000089,20250404,8,1268,51,16,10,Medical Treatment Case,Moderate,N/A,Y,0,0,0,0,0.0,3120.57,1.51,0
90,HSE-2025-000090,20250324,5,2268,0,17,3,Unsafe Condition,Low,N/A,No,N,0,0,0,0.0,36.38,0.07,0
91,HSE-2022-000091,20220625,8,2271,134,52,14,Process Safety Event,High,Tier 3,N,No,0,0,0,37.41,26482.56,2.13,0
